Out of hours,Ecomms,MBL,Region,Area,Trader approved,Remote
Yes,Registered,Incomplete,Americas,Commodities,Yes,Citrix
No,no action,Incomplete,Americas,Commodities,Yes,None
No,Registered,n/a,Americas,Municipals,Yes,Citrix
No,Registered,n/a,United Kingdom,Prime Services,Yes,Citrix
Yes,no action,Incomplete,United Kingdom,FI Rates,Yes,Citrix
n/a,Registered,n/a,Americas,FI Credit,Non Trading,Desktop
n/a,no action,n/a,United Kingdom,Prime Services,Non Trading,Desktop
n/a,no action,Incomplete,Americas,Prime Services,Non Trading,Desktop
n/a,no action,n/a,Americas,Fixed Income,n/a n/a Temp,Desktop & Print
No,no action,Incomplete,Americas,Products,Yes,Citrix
Yes,n/a,n/a,Europe,Emerging Markets,Yes,None
n/a,Registered,n/a,United Kingdom,FI Credit,Non Trading,Desktop
Yes,Registered,Incomplete,Americas,FI Rates,Yes,Citrix
n/a,Registered,n/a,Americas,Syndicate,Non Trading,Desktop
No,no action,n/a,United Kingdom,Foreign Exchange,Yes,None
n/a,Registered,n/a,Americas,FI Credit,Non Trading,Desktop
Yes,no action,n/a,Asia Pacific,Commodities,Yes,None
n/a,n/a,n/a,Americas,Municipals,Non Trading,Desktop & Print
n/a,no action,n/a,United Kingdom,Prime Services,Non Trading,Desktop
n/a,n/a,n/a,Asia Pacific,Prime Services,Non Trading,Citrix
Yes,no action,n/a,Asia Pacific,Prime Services,Yes,Citrix
Yes,Registered,n/a,United Kingdom,FI Rates,Yes,Citrix
n/a,Registered,n/a,Americas,Municipals,Non Trading,Desktop & Print
n/a,Registered,n/a,Americas,Prime Services,Non Trading,Desktop
n/a,no action,n/a,United Kingdom,Banana Natural Resource Investments,Non Trading,Desktop
n/a,Registered,n/a,Americas,Municipals,Non Trading,Desktop & Print
No,Registered,n/a,United Kingdom,FI Credit,Yes,Citrix
Yes,Registered,n/a,Americas,FI Rates,Yes,Citrix
Yes,Registered,n/a,United Kingdom,FI Rates,Yes,None
No,Registered,n/a,Americas,Prime Services,Yes,Citrix
