film,year,award,winner,name,age,
The Last Command,1929,Best Actor,winner,Emil Jannings,44,35-45
The Way of All Flesh,1929,Best Actor,winner,Emil Jannings,44,35-45
The Noose,1929,Best Actor,nominee,Richard Barthelmess,34,25-35
The Patent Leather Kid,1929,Best Actor,nominee,Richard Barthelmess,34,25-35
7th Heaven,1929,Best Actress,nominee,Janet Gaynor,22,< 25
Street Angel,1929,Best Actress,winner,Janet Gaynor,22,< 25
Sunrise,1929,Best Actress,winner,Janet Gaynor,22,< 25
A Ship Comes In,1929,Best Actress,nominee,Louise Dresser,50,45-55
Sadie Thompson,1929,Best Actress,nominee,Gloria Swanson,30,25-35
In Old Arizona,1930,Best Actor,winner,Warner Baxter,41,35-45
The Patriot,1930,Best Actor,nominee,Lewis Stone,50,45-55
The Valiant,1930,Best Actor,nominee,Paul Muni,34,25-35
Alibi,1930,Best Actor,nominee,Chester Morris,29,25-35
Thunderbolt,1930,Best Actor,nominee,George Bancroft,47,45-55
Coquette,1930,Best Actress,winner,Mary Pickford,38,35-45
The Letter,1930,Best Actress,nominee,Jeanne Eagels,39,35-45
Madame X,1930,Best Actress,nominee,Ruth Chatterton,37,35-45
The Divine Lady,1930,Best Actress,nominee,Corinne Griffith,35,35-45
The Barker,1930,Best Actress,nominee,Betty Compson,33,25-35
The Broadway Melody,1930,Best Actress,nominee,Bessie Love,31,25-35
Disraeli,1931,Best Actor,winner,George Arliss,62,55-65
The Green Goddess,1931,Best Actor,nominee,George Arliss,62,55-65
The Big House,1931,Best Actor,nominee,Wallace Beery,45,45-55
The Big Pond,1931,Best Actor,nominee,Maurice Chevalier,42,35-45
The Love Parade,1931,Best Actor,nominee,Maurice Chevalier,42,35-45
Bulldog Drummond,1931,Best Actor,nominee,Ronald Colman,39,35-45
Condemned,1931,Best Actor,nominee,Ronald Colman,39,35-45
The Rogue Song,1931,Best Actor,nominee,Lawrence Tibbett,33,25-35
The Divorcee,1931,Best Actress,winner,Norma Shearer,28,25-35
Sarah and Son,1931,Best Actress,nominee,Ruth Chatterton,37,35-45
The Trespasser,1931,Best Actress,nominee,Gloria Swanson,31,25-35
Their Own Desire,1931,Best Actress,nominee,Norma Shearer,28,25-35
The Devil's Holiday,1931,Best Actress,nominee,Nancy Carroll,26,25-35
Anna Christie,1931,Best Actress,nominee,Greta Garbo,25,25-35
Romance,1931,Best Actress,nominee,Greta Garbo,25,25-35
A Free Soul,1932,Best Actor,winner,Lionel Barrymore,53,45-55
The Front Page,1932,Best Actor,nominee,Adolphe Menjou,41,35-45
Cimarron,1932,Best Actor,nominee,Richard Dix,38,35-45
The Royal Family of Broadway,1932,Best Actor,nominee,Fredric March,34,25-35
Skippy,1932,Best Actor,nominee,Jackie Cooper,9,< 25
Min and Bill,1932,Best Actress,winner,Marie Dressler,63,55-65
Cimarron,1932,Best Actress,nominee,Irene Dunne,32,25-35
Morocco,1932,Best Actress,nominee,Marlene Dietrich,29,25-35
Holiday,1932,Best Actress,nominee,Ann Harding,29,25-35
A Free Soul,1932,Best Actress,nominee,Norma Shearer,29,25-35
The Champ,1933,Best Actor,winner,Wallace Beery,47,45-55
Dr. Jekyll and Mr. Hyde,1933,Best Actor,winner,Fredric March,35,35-45
The Guardsman,1933,Best Actor,nominee,Alfred Lunt,40,35-45
The Sin of Madelon Claudet,1933,Best Actress,winner,Helen Hayes,32,25-35
Emma,1933,Best Actress,nominee,Marie Dressler,64,55-65
The Guardsman,1933,Best Actress,nominee,Lynn Fontanne,44,35-45
The Private Life of Henry VIII,1934,Best Actor,winner,Charles Laughton,34,25-35
Berkeley Square,1934,Best Actor,nominee,Leslie Howard,40,35-45
I am a Fugitive from a Chain Gang,1934,Best Actor,nominee,Paul Muni,38,35-45
Morning Glory,1934,Best Actress,winner,Katharine Hepburn,26,25-35
Lady for a Day,1934,Best Actress,nominee,May Robson,75,> 65
Cavalcade,1934,Best Actress,nominee,Diana Wynyard,28,25-35
It Happened One Night,1935,Best Actor,winner,Clark Gable,34,25-35
The Affairs of Cellini,1935,Best Actor,nominee,Frank Morgan,44,35-45
The Thin Man,1935,Best Actor,nominee,William Powell,42,35-45
It Happened One Night,1935,Best Actress,winner,Claudette Colbert,31,25-35
One Night of Love,1935,Best Actress,nominee,Grace Moore,36,35-45
The Barretts of Wimpole Street,1935,Best Actress,nominee,Norma Shearer,32,25-35
Of Human Bondage,1935,Best Actress,nominee,Bette Davis (write-in candidate),26,25-35
The Informer,1936,Best Actor,winner,Victor McLaglen,49,45-55
Black Fury,1936,Best Actor,nominee,Paul Muni,40,35-45
Mutiny on the Bounty,1936,Best Actor,nominee,Charles Laughton,36,35-45
Mutiny on the Bounty,1936,Best Actor,nominee,Clark Gable,35,35-45
Mutiny on the Bounty,1936,Best Actor,nominee,Franchot Tone,31,25-35
Dangerous,1936,Best Actress,winner,Bette Davis,27,25-35
Escape Me Never,1936,Best Actress,nominee,Elisabeth Bergner,38,35-45
Becky Sharp,1936,Best Actress,nominee,Miriam Hopkins,33,25-35
Private Worlds,1936,Best Actress,nominee,Claudette Colbert,32,25-35
Alice Adams,1936,Best Actress,nominee,Katharine Hepburn,28,25-35
The Dark Angel,1936,Best Actress,nominee,Merle Oberon,25,25-35
The Story of Louis Pasteur,1937,Best Actor,winner,Paul Muni,41,35-45
Dodsworth,1937,Best Actor,nominee,Walter Huston,53,45-55
My Man Godfrey,1937,Best Actor,nominee,William Powell,44,35-45
San Francisco,1937,Best Actor,nominee,Spencer Tracy,36,35-45
Mr. Deeds Goes to Town,1937,Best Actor,nominee,Gary Cooper,35,35-45
