film,year,category,award,name,age0,age
Children of a Lesser God,1987,Best Actress,winner,Marlee Matlin,21,24 >
Babes in Arms,1940,Best Actor,nominee,Mickey Rooney,19,24 >
To Kill a Mockingbird,1963,Best Supporting Actress,nominee,Mary Badham,10,24 >
Kramer vs. Kramer,1980,Best Supporting Actor,nominee,Justin Henry,8,24 >
Skippy,1932,Best Actor,nominee,Jackie Cooper,9,24 >
Beasts of the Southern Wild,2013,Best Actress,nominee,Quvenzhane Wallis,9,24 >
Paper Moon,1974,Best Supporting Actress,winner,Tatum O'Neal,10,24 >
The Goodbye Girl,1978,Best Supporting Actress,nominee,Quinn Cummings,10,24 >
Little Miss Sunshine,2007,Best Supporting Actress,nominee,Abigail Breslin,10,24 >
Shane,1954,Best Supporting Actor,nominee,Brandon De Wilde,11,24 >
The Bad Seed,1957,Best Supporting Actress,nominee,Patty McCormack,11,24 >
The Piano,1994,Best Supporting Actress,winner,Anna Paquin,11,24 >
The Sixth Sense,2000,Best Supporting Actor,nominee,Haley Joel Osment,11,24 >
Whale Rider,2004,Best Actress,nominee,Keisha Castle-Hughes,13,24 >
Atonement,2008,Best Supporting Actress,nominee,Saoirse Ronan,13,24 >
These Three,1937,Best Supporting Actress,nominee,Bonita Granville,14,24 >
Taxi Driver,1977,Best Supporting Actress,nominee,Jodie Foster,14,24 >
True Grit,2011,Best Supporting Actress,nominee,Hailee Steinfeld,14,24 >
The Exorcist,1974,Best Supporting Actress,nominee,Linda Blair,15,24 >
The Miracle Worker,1963,Best Supporting Actress,winner,Patty Duke,16,24 >
Oliver!,1969,Best Supporting Actor,nominee,Jack Wild,16,24 >
Mildred Pierce,1946,Best Supporting Actress,nominee,Ann Blyth,17,24 >
Rebel Without a Cause,1956,Best Supporting Actor,nominee,Sal Mineo,17,24 >
Rebel Without a Cause,1956,Best Supporting Actress,nominee,Natalie Wood,17,24 >
Manhattan,1980,Best Supporting Actress,nominee,Mariel Hemingway,18,24 >
Running on Empty,1989,Best Supporting Actor,nominee,River Phoenix,18,24 >
Cape Fear,1992,Best Supporting Actress,nominee,Juliette Lewis,18,24 >
Stella Dallas,1938,Best Supporting Actress,nominee,Anne Shirley,19,24 >
Gaslight,1945,Best Supporting Actress,nominee,Angela Lansbury,19,24 >
The Corn Is Green,1946,Best Supporting Actress,nominee,Joan Lorring,19,24 >
What's Eating Gilbert Grape,1994,Best Supporting Actor,nominee,Leonardo DiCaprio,19,24 >
The Picture of Dorian Gray,1946,Best Supporting Actress,nominee,Angela Lansbury,20,24 >
Hamlet,1949,Best Supporting Actress,nominee,Jean Simmons,20,24 >
Peyton Place,1958,Best Supporting Actress,nominee,Diane Varsi,20,24 >
The Story of Adele H.,1976,Best Actress,nominee,Isabelle Adjani,20,24 >
The Turning Point,1978,Best Supporting Actress,nominee,Leslie Browne,20,24 >
Ordinary People,1981,Best Supporting Actor,winner,Timothy Hutton,20,24 >
Raging Bull,1981,Best Supporting Actress,nominee,Cathy Moriarty,20,24 >
Ragtime,1982,Best Supporting Actress,nominee,Elizabeth McGovern,20,24 >
Sense and Sensibility,1996,Best Supporting Actress,nominee,Kate Winslet,20,24 >
