film,year,award,winner,name,age
The Last Command,1929,Best Actor,winner,Emil Jannings,44
The Way of All Flesh,1929,Best Actor,winner,Emil Jannings,44
The Noose,1929,Best Actor,,Richard Barthelmess,34
The Patent Leather Kid,1929,Best Actor,,Richard Barthelmess,34
7th Heaven,1929,Best Actress,,Janet Gaynor,22
Street Angel,1929,Best Actress,winner,Janet Gaynor,22
Sunrise,1929,Best Actress,winner,Janet Gaynor,22
A Ship Comes In,1929,Best Actress,,Louise Dresser,50
Sadie Thompson,1929,Best Actress,,Gloria Swanson,30
In Old Arizona,1930,Best Actor,winner,Warner Baxter,41
The Patriot,1930,Best Actor,,Lewis Stone,50
The Valiant,1930,Best Actor,,Paul Muni,34
Alibi,1930,Best Actor,,Chester Morris,29
Thunderbolt,1930,Best Actor,,George Bancroft,47
Coquette,1930,Best Actress,winner,Mary Pickford,38
The Letter,1930,Best Actress,,Jeanne Eagels,39
Madame X,1930,Best Actress,,Ruth Chatterton,37
The Divine Lady,1930,Best Actress,,Corinne Griffith,35
The Barker,1930,Best Actress,,Betty Compson,33
The Broadway Melody,1930,Best Actress,,Bessie Love,31
Disraeli,1931,Best Actor,winner,George Arliss,62
The Green Goddess,1931,Best Actor,,George Arliss,62
The Big House,1931,Best Actor,,Wallace Beery,45
The Big Pond,1931,Best Actor,,Maurice Chevalier,42
The Love Parade,1931,Best Actor,,Maurice Chevalier,42
Bulldog Drummond,1931,Best Actor,,Ronald Colman,39
Condemned,1931,Best Actor,,Ronald Colman,39
The Rogue Song,1931,Best Actor,,Lawrence Tibbett,33
The Divorcee,1931,Best Actress,winner,Norma Shearer,28
Sarah and Son,1931,Best Actress,,Ruth Chatterton,37
The Trespasser,1931,Best Actress,,Gloria Swanson,31
Their Own Desire,1931,Best Actress,,Norma Shearer,28
The Devil's Holiday,1931,Best Actress,,Nancy Carroll,26
Anna Christie,1931,Best Actress,,Greta Garbo,25
Romance,1931,Best Actress,,Greta Garbo,25
A Free Soul,1932,Best Actor,winner,Lionel Barrymore,53
The Front Page,1932,Best Actor,,Adolphe Menjou,41
Cimarron,1932,Best Actor,,Richard Dix,38
The Royal Family of Broadway,1932,Best Actor,,Fredric March,34
Skippy,1932,Best Actor,,Jackie Cooper,9
Min and Bill,1932,Best Actress,winner,Marie Dressler,63
Cimarron,1932,Best Actress,,Irene Dunne,32
Morocco,1932,Best Actress,,Marlene Dietrich,29
Holiday,1932,Best Actress,,Ann Harding,29
A Free Soul,1932,Best Actress,,Norma Shearer,29
The Champ,1933,Best Actor,winner,Wallace Beery,47
Dr. Jekyll and Mr. Hyde,1933,Best Actor,winner,Fredric March,35
The Guardsman,1933,Best Actor,,Alfred Lunt,40
The Sin of Madelon Claudet,1933,Best Actress,winner,Helen Hayes,32
Emma,1933,Best Actress,,Marie Dressler,64
The Guardsman,1933,Best Actress,,Lynn Fontanne,44
The Private Life of Henry VIII,1934,Best Actor,winner,Charles Laughton,34
Berkeley Square,1934,Best Actor,,Leslie Howard,40
I am a Fugitive from a Chain Gang,1934,Best Actor,,Paul Muni,38
Morning Glory,1934,Best Actress,winner,Katharine Hepburn,26
Lady for a Day,1934,Best Actress,,May Robson,75
Cavalcade,1934,Best Actress,,Diana Wynyard,28
It Happened One Night,1935,Best Actor,winner,Clark Gable,34
The Affairs of Cellini,1935,Best Actor,,Frank Morgan,44
The Thin Man,1935,Best Actor,,William Powell,42
It Happened One Night,1935,Best Actress,winner,Claudette Colbert,31
One Night of Love,1935,Best Actress,,Grace Moore,36
The Barretts of Wimpole Street,1935,Best Actress,,Norma Shearer,32
Of Human Bondage,1935,Best Actress,,Bette Davis (write-in candidate),26
The Informer,1936,Best Actor,winner,Victor McLaglen,49
Black Fury,1936,Best Actor,,Paul Muni,40
Mutiny on the Bounty,1936,Best Actor,,Charles Laughton,36
Mutiny on the Bounty,1936,Best Actor,,Clark Gable,35
Mutiny on the Bounty,1936,Best Actor,,Franchot Tone,31
Dangerous,1936,Best Actress,winner,Bette Davis,27
Escape Me Never,1936,Best Actress,,Elisabeth Bergner,38
Becky Sharp,1936,Best Actress,,Miriam Hopkins,33
Private Worlds,1936,Best Actress,,Claudette Colbert,32
Alice Adams,1936,Best Actress,,Katharine Hepburn,28
The Dark Angel,1936,Best Actress,,Merle Oberon,25
The Story of Louis Pasteur,1937,Best Actor,winner,Paul Muni,41
Dodsworth,1937,Best Actor,,Walter Huston,53
My Man Godfrey,1937,Best Actor,,William Powell,44
San Francisco,1937,Best Actor,,Spencer Tracy,36
Mr. Deeds Goes to Town,1937,Best Actor,,Gary Cooper,35
